"soilseriesname","errorkind","context","mlraoffice"
"WILLOW CREEK","SECTION HEADINGS",NA,"bozeman, mt"
"WINGDALE","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"WINRIDGE","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"WISEMAN","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"WOMACK","MULTILINE TYPICAL PEDON","[number of multilines=7]","bozeman, mt"
"WOODINVILLE","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"WOODROCK","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"YACOLT","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"YOST","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"YUTRUE","MULTILINE TYPICAL PEDON","[number of multilines=6]","bozeman, mt"
"ZELDA","DUPLICATION OF HEADERS","[SAR:  13 to 30,SAR: 30 to 40]","bozeman, mt"
"ZENKER","DUPLICATE STANDARD SECTIONS","[REMARKS]","bozeman, mt"
