"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"KUSLINAD","Oi",20,10,NA,NA,NA,"5YR","3","2"
"KVICHAK","O1",3,0,NA,NA,NA,NA,NA,NA
"KWATAHEIN","Oa",8,0,NA,NA,NA,"5YR","2.5","1"
"KWATAHEIN","Oe",25,8,NA,NA,NA,"5YR","2.5","1"
"KWATAHEIN","Oi",30,25,NA,NA,NA,"5YR","2.5","2"
"LIESNOI","Oi",3,0,NA,NA,NA,"7.5YR","3","2"
"LIVENGOOD","O1",3,0,NA,NA,NA,"10YR","3","2"
"LUCILE","Oi",10,0,NA,NA,NA,"10YR","2","1"
"LUTAK","Oe",5,0,NA,NA,NA,NA,NA,NA
"LUTAK","Oi",15,5,NA,NA,NA,NA,NA,NA
"LUTAK","3Cl",20,36,NA,NA,NA,"7.5YR","3","2"
"MACLAREN","Oi",8,0,NA,NA,NA,"2.5YR","2.5","2"
"MAGNETIC","Oa",18,0,NA,NA,NA,"7.5YR","3","2"
"MAGNETIC","Oe",36,18,NA,NA,NA,"5YR","3","3"
"MALMESBURY","Oa",3,0,NA,NA,NA,"5YR","3","2"
"MALMESBURY","Oi",5,3,NA,NA,NA,NA,NA,NA
"MCCALLY","O1",8,0,NA,NA,NA,"10YR","2","2"
"MEARES","Oe",8,0,NA,NA,NA,"5YR","2.5","1"
"MEARES","Oi",10,8,NA,NA,NA,NA,NA,NA
"MEDFRA","O1",25,0,NA,NA,NA,NA,NA,NA
"MENDELTNA","Oe",10,0,NA,NA,NA,"5YR","2.5","1"
"MENDELTNA","Oi",23,10,NA,NA,NA,"5YR","3","2"
"MINCHUMINA","Oe",15,0,NA,NA,NA,NA,NA,NA
"MINCHUMINA","Oi",25,15,NA,NA,NA,NA,NA,NA
"MITKOF","Oa",5,0,NA,NA,NA,"N","2",NA
"MITKOF","Oi",10,5,NA,NA,NA,NA,NA,NA
"MOSMAN","Oa",13,0,NA,NA,NA,"10YR","2","1"
"MOSMAN","Oi",18,13,NA,NA,NA,"5YR","2.5","2"
"NABESNA","O12",5,0,NA,NA,NA,"10YR","2","1"
"NABESNA","O11",13,5,NA,NA,NA,"5YR","2","2"
"NAKNEK","O12",23,0,NA,NA,NA,NA,NA,NA
"NAKNEK","O11",41,23,NA,NA,NA,"5YR","3","3"
"NAKWASINA","Oa",20,0,NA,NA,NA,NA,NA,NA
"NANCY","Oe",3,0,NA,NA,NA,"7.5YR","3","2"
"NANWALEK","Oe",5,0,NA,NA,NA,"10YR","2","2"
"NATAGA","Oi",8,0,NA,NA,NA,NA,NA,NA
"NAUKATI","Oe",8,0,NA,NA,NA,"10YR","2","1"
"NAUKATI","Oi",13,8,NA,NA,NA,NA,NA,NA
