"id","ac","benchmarksoilflag","soiltaxclasslastupdated"
"CARLAIN",2394,FALSE,2003
"KEPHART",2345,FALSE,2006
"WEBILE",2283,FALSE,2016
"MEDLAKE",2242,FALSE,2007
"ELAM",2205,FALSE,2004
"TREGONING",2175,FALSE,1998
"TWINBUTTES",2016,FALSE,2007
"BEARGULCH",1970,FALSE,1998
"BELLAVISTA",1966,FALSE,2003
"OQUIN",1890,FALSE,1998
"IVERSEN",1853,FALSE,2003
"HARECREEK",1643,FALSE,2003
"VANVOR",1633,FALSE,2003
"BIGHILL",1575,FALSE,2004
"MANTON",1524,FALSE,2007
"COMPTCHE",1456,FALSE,2004
"QUAKING",1438,FALSE,2007
"NOYO",1402,FALSE,2006
"SLACREEK",1341,FALSE,2004
"DEMOGUL",1270,FALSE,2004
"BURIBURI",1234,FALSE,2003
"CARGENT",1198,FALSE,1998
"PENDOLA",1095,FALSE,2004
"DEKKAS",1055,FALSE,2006
"LOSTPOINT",951,FALSE,2019
"GLENBLAIR",927,FALSE,2004
"FISHROCK",909,FALSE,2003
"SHASTINA",827,FALSE,2004
"GIBWELL",814,FALSE,2006
"TOURNQUIST",NA,FALSE,2003
"HONEYDEW",NA,FALSE,2003
"CIMA",NA,FALSE,2006
